Country Name,"Country Code","Series","Series Code","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]"
Afghanistan,"AFG","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","1.27","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","2.64","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","0.63","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","1","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","0.21","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","0.08","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","1.97","..","..","..","..","..","..",".."
Afghanistan,"AFG","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","3.85","..","..","..","..","..","..",".."
Afghanistan,"AFG","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","..","..","..","23.15362","..","..","..","..","..",".."
Afghanistan,"AFG","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","..","..","..","8.41276","..","..","..","..","..",".."
Afghanistan,"AFG","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","..","..","..","37.79481","..","..","..","..","..",".."
Afghanistan,"AFG","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..","355"
Afghanistan,"AFG","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..","358"
Afghanistan,"AFG","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..","350"
Afghanistan,"AFG","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","..","..","..","..","1.67143","2.48133","..","2.47765","3.46529","..","4.8882"
Afghanistan,"AFG","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","..","..","..","1.34618","2.01881","..","2.19117","2.90902","3.81526","4.01572"
Afghanistan,"AFG","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","..","..","..","..","1.27354","1.94761","..","1.9775","2.67373","3.54372","3.70271"
Afghanistan,"AFG","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","..","..","..","..","41.78314","..","..",".."
Afghanistan,"AFG","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","..","..","..","..","1.13034","1.82366","..","1.6171","2.26257","3.06332","3.1366"
Albania,"ALB","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","6.41","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","6.48","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","3.24","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","3.4","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","0.05","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","0.06","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","9.7","..","..","..","..","..","..",".."
Albania,"ALB","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","9.93","..","..","..","..","..","..",".."
Albania,"ALB","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","98.84147","..","..","98.61158","98.9171","..","..","..","..",".."
Albania,"ALB","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","98.80911","..","..","98.5291","98.81971","..","..","..","..",".."
Albania,"ALB","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","98.87752","..","..","98.69613","99.01541","..","..","..","..",".."
Albania,"ALB","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..","429"
Albania,"ALB","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..","414"
Albania,"ALB","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..","445"
Albania,"ALB","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","5.41678","5.90312","4.87713","5.19261","5.39414","5.48745","5.5491","5.77866","5.93138","6.53639","7.39093"
Albania,"ALB","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","..","3.87805","4.0296","4.44627","4.65653","4.81818","4.98177","5.19261","5.41028","5.73093","6.45357"
Albania,"ALB","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","..","5.74341","5.8186","6.14436","6.6148","7.25773","7.76118","8.26905","7.61587","7.74272","8.59625"
Albania,"ALB","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","6.63228","10.49158","14.32697","19.13657","20.2807","21.501","19.37652","17.89908","15.01803","17.11665","17.55929"
Albania,"ALB","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","7.54838","8.14881","8.80628","8.74254","9.28904","10.41713","11.2158","11.94113","10.3726","10.27228","11.17973"
Algeria,"DZA","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","3.82","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","4.19","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","2.14","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","2.12","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","0.37","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","0.39","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","6.35","..","..","..","..","..","..",".."
Algeria,"DZA","Barro-Lee: Average years of total schooling, age 15+, total","BAR.SCHL.15UP","..","..","..","6.68","..","..","..","..","..","..",".."
Algeria,"DZA","Literacy rate, population 25-64 years, both sexes (%)","UIS.LR.AG25T64","..","72.71219","..","..","..","..","..","..","..","..",".."
Algeria,"DZA","Literacy rate, population 25-64 years, female (%)","UIS.LR.AG25T64.F","..","62.93116","..","..","..","..","..","..","..","..",".."
Algeria,"DZA","Literacy rate, population 25-64 years, male (%)","UIS.LR.AG25T64.M","..","82.36369","..","..","..","..","..","..","..","..",".."
Algeria,"DZA","Harmonized Test Scores, Total","HD.HCI.HLOS","..","..","..","..","..","..","..","..","..","..","374"
Algeria,"DZA","Harmonized Test Scores, Male","HD.HCI.HLOS.MA","..","..","..","..","..","..","..","..","..","..","366"
Algeria,"DZA","Harmonized Test Scores, Female","HD.HCI.HLOS.FE","..","..","..","..","..","..","..","..","..","..","383"
Algeria,"DZA","Percentage of enrolment in primary education in private institutions (%)","SE.PRM.PRIV.ZS","0.19504","0.263","0.1662","0.13676","0.5159","0.64396","..","0.92548","0.98476","0.89434","1.2059"
Algeria,"DZA","Percentage of enrolment in lower secondary education in private institutions (%)","UIS.PRP.2","0.12709","0.14095","0.09731","0.07046","0.2538","..","..","..","..","..",".."
Algeria,"DZA","Percentage of enrolment in secondary education in private institutions (%)","SE.SEC.PRIV.ZS","0.15687","0.16946","0.13448","0.07714","0.2714","..","..","..","..","..",".."
Algeria,"DZA","Percentage of enrolment in tertiary education in private institutions (%)","SE.TER.PRIV.ZS","..","..","..","0","0","..","0","0","0","0","0"
Algeria,"DZA","Percentage of enrolment in upper secondary education in private institutions (%)","UIS.PRP.3","0.23371","0.2478","0.25024","0.09407","0.3142","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of primary schooling, age 15+, female","BAR.PRM.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of primary schooling, age 15+, total","BAR.PRM.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of secondary schooling, age 15+, female","BAR.SEC.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of secondary schooling, age 15+, total","BAR.SEC.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of tertiary schooling, age 15+, total","BAR.TER.SCHL.15UP","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of tertiary schooling, age 15+, female","BAR.TER.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
American Samoa,"ASM","Barro-Lee: Average years of total schooling, age 15+, female","BAR.SCHL.15UP.FE","..","..","..","..","..","..","..","..","..","..",".."
