country,year,Region,inc,yrs.sch,overall,primary,secondary,higher,Prim..10,Sec..11,Higher..12,primary.soc,secondary.soc,higher.soc,male,female,private,public,source
Albania,2012,Europe and Central Asia,Middle,11.32,8.05,NA,NA,9.975,NA,NA,NA,NA,NA,NA,5.9,10.19,NA,NA,Miluka (2015)
Albania,2002,Europe and Central Asia,Middle,NA,NA,NA,2.25,11.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gjipali and Kristo (2011)
Albania,2004,Europe and Central Asia,Middle,9.372,5.8,1.5,3.3,4.8,NA,NA,NA,NA,NA,NA,4.7,8.5,NA,NA,"Peet, Fink and Fawzi (2015)"
Algeria,2001,Middle East and North Africa,Middle,6.35,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arbak (2012)
Argentina,1980,Latin America and Caribbean,High,7.3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Argentina,1985,Latin America and Caribbean,High,8.99,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.1,10.3,NA,NA,Psacharopoulos (1994)
Argentina,1985,Latin America and Caribbean,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,7,Kugler and Psacharopoulos (1989)
Argentina,1989,Latin America and Caribbean,High,9.1,10.3,NA,NA,NA,10.1,14.2,14.9,8.4,7.1,7.6,10.7,11.2,11.1,8.9,Psacharopoulos (1994)
Argentina,1990,Latin America and Caribbean,High,8.37,10.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Argentina,2003,Latin America and Caribbean,High,9.1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lopez Boo (2010)
Argentina,1993,Latin America and Caribbean,High,8.64,8.6,8.1,8.2,9.7,NA,NA,NA,NA,NA,NA,9,8.5,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1995,Latin America and Caribbean,High,8.64,9.6,7.9,8.2,12.5,NA,NA,NA,NA,NA,NA,9.8,9.4,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1992,Latin America and Caribbean,High,8.37,8.6,10.7,8.5,9.2,NA,NA,NA,NA,NA,NA,9.1,8.1,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1994,Latin America and Caribbean,High,8.64,9.6,9.4,8.6,11.2,NA,NA,NA,NA,NA,NA,10,9.1,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1996,Latin America and Caribbean,High,8.64,9.9,8.3,8.6,12.1,NA,NA,NA,NA,NA,NA,10,9.8,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1999,Latin America and Caribbean,High,8.73,10.3,8,8.8,12.6,NA,NA,NA,NA,NA,NA,10.3,10.5,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1998,Latin America and Caribbean,High,8.73,10.6,8.2,8.9,13,NA,NA,NA,NA,NA,NA,10.9,10.4,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2001,Latin America and Caribbean,High,8.73,11.5,12.6,9.2,13.6,NA,NA,NA,NA,NA,NA,11.4,11.8,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2002,Latin America and Caribbean,High,8.73,11.4,10.6,9.2,13.8,NA,NA,NA,NA,NA,NA,12,10.8,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,1997,Latin America and Caribbean,High,8.73,10.4,9.1,9.3,12.2,NA,NA,NA,NA,NA,NA,10.7,10.19,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2000,Latin America and Caribbean,High,8.73,11.3,8.4,10,13.3,NA,NA,NA,NA,NA,NA,11.4,11.5,NA,NA,"Giovagnoli, Fiszbein and Patrinos (2005)"
Australia,1969,Advanced Economies,High,NA,NA,NA,NA,NA,NA,14,13.9,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1985)
Australia,1976,Advanced Economies,High,NA,NA,NA,NA,NA,NA,8.1,21.1,NA,NA,16.3,NA,NA,NA,NA,Psacharopoulos (1985); Psacharopoulos (1994)
Australia,1980,Advanced Economies,High,11.2,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miller, Mulvey and Martin (1995)"
Australia,1981,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.7,McNabb and Richardson (1989)
Australia,1981,Advanced Economies,High,11.2,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Australia,1982,Advanced Economies,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,6.7,McNabb and Richardson (1989)
Australia,1985,Advanced Economies,High,11.2,10.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,5.2,NA,NA,"Trostel, Walker and Woolley (2002); Rummery, Vella and Verbeek (1999)"
Australia,1987,Advanced Economies,High,9.7,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Patrinos (1995)
Australia,1989,Advanced Economies,High,11.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cohn and Addison (1998)
Australia,1990,Advanced Economies,High,11.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Australia,1991,Advanced Economies,High,11.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miller, Mulvey and Martin (2006)"
Australia,1994,Advanced Economies,High,11.2,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
Australia,1995,Advanced Economies,High,11.2,5.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Harmon, Oosterbeek and Walker (2003)"
Australia,2000,Advanced Economies,High,11.1,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miller, Mulvey and Martin (2006)"
Australia,2003,Advanced Economies,High,11.3,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leigh and Ryan (2008)
Australia,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,16.3,8.9,NA,17.75,13.4,NA,NA,NA,NA,OECD (2013)
Australia,2009,Advanced Economies,High,NA,NA,NA,NA,NA,NA,15.95,9.45,NA,21.2,10.65,NA,NA,NA,NA,OECD (2015)
Australia,2010,Advanced Economies,High,12.1,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mariotti and Meinecke (2011)
Austria,1980,Advanced Economies,High,7.9,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kaboski (2003)
Austria,1981,Advanced Economies,High,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,11.3,NA,NA,Fersterer and Winter-Ebmer (2003)
Austria,1981,Advanced Economies,High,7.9,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Psacharopoulos (1994)
