country,year,type,value,source
Albania,2004,primary,1.5,"Peet, Fink and Fawzi (2015)"
Albania,2004,secondary,3.3,"Peet, Fink and Fawzi (2015)"
Albania,2012,overall,8.049999999999999,Miluka (2015)
Albania,2012,higher,9.975000000000001,Miluka (2015)
Albania,2012,male,5.9,Miluka (2015)
Albania,2012,female,10.19,Miluka (2015)
Albania,2012,globalAvgOverall,9,Miluka (2015)
Algeria,2001,overall,2.2,Arbak (2012)
Algeria,2001,globalAvgOverall,9,Arbak (2012)
Argentina,2002,primary,10.6,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2002,secondary,9.2,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2002,higher,13.8,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2002,male,12,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2002,female,10.8,"Giovagnoli, Fiszbein and Patrinos (2005)"
Argentina,2003,overall,11,Lopez Boo (2010)
Argentina,2003,globalAvgOverall,9,Lopez Boo (2010)
Australia,1985,male,5.1,"Trostel, Walker and Woolley (2002); Rummery, Vella and Verbeek (1999)"
Australia,1985,female,5.2,"Trostel, Walker and Woolley (2002); Rummery, Vella and Verbeek (1999)"
Australia,2010,overall,8.3,Mariotti and Meinecke (2011)
Australia,2010,globalAvgOverall,9,Mariotti and Meinecke (2011)
Austria,1981,secondary,11.3,Hofer and Pichelmann (1997)
Austria,1981,higher,4.2,Hofer and Pichelmann (1997)
Austria,1997,male,6.6,Fersterer and Winter-Ebmer (2003)
Austria,1997,female,6.6,Fersterer and Winter-Ebmer (2003)
Austria,2008,overall,6.5,Glocker and Steiner (2011)
Austria,2008,globalAvgOverall,9,Glocker and Steiner (2011)
Azerbaijan,1995,overall,3.7,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,primary,5.5,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,secondary,4.2,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,higher,13.8,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,higher,4,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,male,3.8,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,female,4.5,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Azerbaijan,1995,overall,3.7,Newell and Reilly (1999)
Azerbaijan,1995,primary,5.5,Newell and Reilly (1999)
Azerbaijan,1995,secondary,4.2,Newell and Reilly (1999)
Azerbaijan,1995,higher,13.8,Newell and Reilly (1999)
Azerbaijan,1995,male,3.8,Newell and Reilly (1999)
Azerbaijan,1995,female,4.5,Newell and Reilly (1999)
Azerbaijan,1995,globalAvgOverall,9,Newell and Reilly (1999)
Bangladesh,1999,male,6.2,Asadullah (2006)
Bangladesh,1999,female,13.2,Asadullah (2006)
Bangladesh,2006,overall,10,Taposh and Lin (2009)
Bangladesh,2006,globalAvgOverall,9,Taposh and Lin (2009)
Barbados,1999,secondary,4.8,Griffith (2001)
Barbados,1999,higher,12.5,Griffith (2001)
Belarus,2001,primary,0.025,Pastore and Verashchagina (2006)
Belarus,2001,secondary,0.04285714285714286,Pastore and Verashchagina (2006)
Belarus,2001,higher,0.11600000000000002,Pastore and Verashchagina (2006)
Belarus,2001,male,9.4,Pastore and Verashchagina (2006)
Belarus,2001,female,11.7,Pastore and Verashchagina (2006)
Belarus,2002,overall,6.9,"Yemtsov, Cnobloch, Mete (2006)"
Belarus,2002,globalAvgOverall,9,"Yemtsov, Cnobloch, Mete (2006)"
Belgium,1992,secondary,2,Nonneman and Cortens (1997)
Belgium,1992,higher,3.4,Nonneman and Cortens (1997)
Belgium,1997,overall,9.6,Psacharopoulos (1994)
Belgium,1997,globalAvgOverall,9,Psacharopoulos (1994)
Belize,2005,overall,10,Hausman and Klinger (2007)
Belize,2005,globalAvgOverall,9,Hausman and Klinger (2007)
Bolivia,1989,male,7.3,Psacharopoulos (1994)
Bolivia,1989,female,7.7,Psacharopoulos (1994)
Bolivia,1990,primary,19,Psacharopoulos and Mattson (1998)
Bolivia,1990,secondary,8,Psacharopoulos and Mattson (1998)
Bolivia,1990,higher,18,Psacharopoulos and Mattson (1998)
Bolivia,2002,overall,10.3,"Patrinos, Ridao and Sakellariou (2009)"
Bolivia,2002,globalAvgOverall,9,"Patrinos, Ridao and Sakellariou (2009)"
Bosnia & Herzegovina,2002,overall,8.1,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,primary,12.5,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,secondary,6.4,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,higher,8.1,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,male,6.7,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,female,11.1,"Peet, Fink and Fawzi (2015)"
Bosnia & Herzegovina,2002,globalAvgOverall,9,"Peet, Fink and Fawzi (2015)"
Botswana,1994,primary,20,Siphambe (2000)
Botswana,1994,secondary,40,Siphambe (2000)
Botswana,1994,higher,5,Siphambe (2000)
Botswana,1995,overall,16,Siphambe (2000)
Botswana,1995,globalAvgOverall,9,Siphambe (2000)
Botswana,2004,male,15.4,Siphambe (2008)
Botswana,2004,female,15.2,Siphambe (2008)
Brazil,1997,primary,10.8,"Peet, Fink and Fawzi (2015)"
Brazil,1997,secondary,8.8,"Peet, Fink and Fawzi (2015)"
Brazil,1997,higher,12.6,"Peet, Fink and Fawzi (2015)"
Brazil,1997,male,10.8,"Peet, Fink and Fawzi (2015)"
Brazil,1997,female,11.6,"Peet, Fink and Fawzi (2015)"
Brazil,2001,overall,15.7,"Patrinos, Ridao and Sakellariou (2009)"
Brazil,2001,globalAvgOverall,9,"Patrinos, Ridao and Sakellariou (2009)"
Bulgaria,1999,primary,5.3,"Peet, Fink and Fawzi (2015)"
Bulgaria,1999,secondary,4.9,"Peet, Fink and Fawzi (2015)"
Bulgaria,1999,higher,4.6,"Peet, Fink and Fawzi (2015)"
Bulgaria,1999,male,6.7,"Peet, Fink and Fawzi (2015)"
Bulgaria,1999,female,11.1,"Peet, Fink and Fawzi (2015)"
Bulgaria,2003,overall,6.7,"Flabbi, Paternostro and Tiongson (2008)"
Bulgaria,2003,globalAvgOverall,9,"Flabbi, Paternostro and Tiongson (2008)"
Burkina Faso,1980,overall,9.6,Psacharopoulos (1994)
Burkina Faso,1980,globalAvgOverall,9,Psacharopoulos (1994)
Burkina Faso,1994,primary,9.9,Kazianga (2004)
Burkina Faso,1994,secondary,16.4,Kazianga (2004)
Burkina Faso,1994,higher,11.4,Kazianga (2004)
Burundi,2006,primary,11,Barouni and Broecke (2014)
Burundi,2006,secondary,18,Barouni and Broecke (2014)
Burundi,2006,higher,28,Barouni and Broecke (2014)
Cambodia,2007,overall,8.5,Lall (2008)
Cambodia,2007,overall,6.699999999999999,Lall and Sakellariou (2010)
Cambodia,2007,primary,3.6750000000000007,Lall (2008)
Cambodia,2007,primary,3.6750000000000007,Lall and Sakellariou (2010)
Cambodia,2007,secondary,-0.01666666666666668,Lall (2008)
Cambodia,2007,secondary,-0.01666666666666668,Lall and Sakellariou (2010)
Cambodia,2007,higher,1.0999999999999996,Lall (2008)
Cambodia,2007,higher,1.0999999999999996,Lall and Sakellariou (2010)
Cambodia,2007,male,6.6,Lall (2008)
Cambodia,2007,male,6.6,Lall and Sakellariou (2010)
Cambodia,2007,female,6.8,Lall (2008)
Cambodia,2007,female,6.8,Lall and Sakellariou (2010)
Cambodia,2007,globalAvgOverall,9,Lall (2008)
Cambodia,2007,globalAvgOverall,9,Lall and Sakellariou (2010)
Cambodia,2007,overall,8.5,Lall and Sakellariou (2010)
Cameroon,1994,primary,5.2,Amin and Awung (2005)
Cameroon,1994,secondary,26.3,Amin and Awung (2005)
Cameroon,1994,higher,27.2,Amin and Awung (2005)
Cameroon,1995,overall,5.96,Banerjee and Duflo (2005)
Cameroon,1995,globalAvgOverall,9,Banerjee and Duflo (2005)
Canada,1989,male,8.9,Psacharopoulos and Patrinos (2004)
Canada,2001,overall,11,Taposh and Lin (2009)
Canada,2001,globalAvgOverall,9,Taposh and Lin (2009)
Chile,1982,primary,27.8,Riveros (1990)
Chile,1982,secondary,11.2,Riveros (1990)
Chile,1982,higher,10.1,Riveros (1990)
Chile,1989,male,12.1,Psacharopoulos (1994)
Chile,1989,female,13.2,Psacharopoulos (1994)
Chile,2003,overall,12,"Patrinos, Ridao and Sakellariou (2009)"
